Date,Actual,Basic_nn
2009-07-07,12759.06,11429.571
2009-07-07,12803.02,11920.659
2009-07-07,12722.76,12402.177
2009-07-07,12408.48,12604.285
2009-07-07,12134.0,12610.897
2009-07-07,11978.89,12558.602
2009-07-07,11706.09,12477.112
2009-07-07,11326.39,12386.867
2009-07-07,10836.35,12245.816
2009-07-07,10762.12,12000.111
2009-07-07,10359.42,11754.616
2009-07-07,9986.54,11497.04
2009-07-08,9742.01,11352.974
2009-07-08,9467.27,10918.899
2009-07-08,9223.26,10226.145
2009-07-08,9049.11,9381.187
2009-07-08,8775.96,9192.079
2009-07-08,8326.06,9045.861
2009-07-08,7971.73,8917.403
2009-07-08,7663.88,8623.426
2009-07-08,7506.21,8105.6113
2009-07-08,7450.28,7644.3477
2009-07-08,7512.68,7354.2456
2009-07-08,7883.54,7213.7305
2009-07-08,8365.71,7159.6196
2009-07-08,9289.88,7253.2993
2009-07-08,10167.83,7567.666
2009-07-08,10684.03,8140.1636
2009-07-08,11285.66,9349.876
2009-07-08,11422.88,10257.879
2009-07-08,11285.09,10813.181
2009-07-08,11260.95,11311.971
2009-07-08,11208.93,11342.642
2009-07-08,11067.17,11218.986
2009-07-08,10977.57,11178.21
2009-07-08,10764.69,11058.803
2009-07-08,10631.86,10923.115
2009-07-08,10559.36,10758.219
2009-07-08,10391.51,10551.182
2009-07-08,10359.27,10373.276
2009-07-08,10238.87,10254.773
2009-07-08,10198.06,10198.217
2009-07-08,10195.22,10213.204
2009-07-08,10217.41,10148.055
2009-07-08,10371.66,10141.01
2009-07-08,10578.21,10096.307
2009-07-08,10999.33,10156.66
2009-07-08,11749.62,10397.042
2009-07-08,12475.31,10721.116
2009-07-08,12471.35,11254.6045
2009-07-08,12381.43,11911.934
2009-07-08,12066.26,12271.231
2009-07-08,11817.08,12312.633
2009-07-08,11712.45,12249.976
2009-07-08,11479.63,12109.451
2009-07-08,11080.61,12000.365
2009-07-08,10657.56,11891.487
2009-07-08,10619.39,11672.426
2009-07-08,10220.24,11412.982
2009-07-08,9920.72,11136.913
2009-07-09,9648.66,10958.3125
2009-07-09,9365.87,10585.246
2009-07-09,9191.48,10031.735
2009-07-09,8981.13,9384.808
2009-07-09,8705.16,9180.537
2009-07-09,8278.87,9018.184
2009-07-09,7892.13,8905.676
2009-07-09,7630.46,8598.078
2009-07-09,7482.69,8078.754
2009-07-09,7413.55,7662.8384
2009-07-09,7457.04,7347.379
2009-07-09,7805.03,7198.749
2009-07-09,8273.78,7151.9595
2009-07-09,9177.42,7237.6626
2009-07-09,10095.08,7551.2397
2009-07-09,10600.68,8141.322
2009-07-09,11173.59,9343.63
2009-07-09,11342.75,10250.691
2009-07-09,11235.55,10853.055
2009-07-09,11262.64,11348.918
2009-07-09,11187.57,11388.499
2009-07-09,11071.39,11234.244
2009-07-09,10915.93,11137.249
2009-07-09,10704.0,11061.781
2009-07-09,10562.43,10934.66
2009-07-09,10439.38,10653.6045
2009-07-09,10259.25,10397.976
2009-07-09,10178.03,10357.154
2009-07-09,10046.56,10203.262
2009-07-09,10007.06,10045.295
2009-07-09,9937.6,9966.869
2009-07-09,9906.26,9890.518
2009-07-09,10063.53,9925.905
2009-07-09,10292.66,9952.564
2009-07-09,10714.76,9998.052
2009-07-09,11388.66,10185.075
2009-07-09,12077.48,10538.591
2009-07-09,12161.24,11114.574
2009-07-09,12071.13,11673.196
2009-07-09,11789.53,11950.107
2009-07-09,11636.15,11958.687
2009-07-09,11574.96,11936.616
2009-07-09,11358.81,11876.195
2009-07-09,10981.48,11772.649
2009-07-09,10543.62,11678.912
2009-07-09,10524.49,11458.46
2009-07-09,10186.7,11160.946
2009-07-09,9849.35,10901.433
2009-07-10,9555.83,10754.75
2009-07-10,9255.58,10429.611
2009-07-10,9017.75,10052.012
2009-07-10,8859.21,9581.908
2009-07-10,8550.3,9296.94
2009-07-10,8149.71,9109.277
2009-07-10,7762.4,8962.859
2009-07-10,7466.62,8632.035
2009-07-10,7296.5,8125.889
2009-07-10,7213.34,7672.143
2009-07-10,7294.15,7372.3525
2009-07-10,7615.31,7216.9443
2009-07-10,8049.95,7142.8013
2009-07-10,8942.5,7227.7236
2009-07-10,9784.11,7562.2305
2009-07-10,10256.65,8153.208
2009-07-10,10844.27,9360.462
