Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9
9228.490550379569,8776.340833913337,8634.305463663344,9046.025448337652,9772.823885633976,8599.279407924309,9111.54757266819,8984.520914448953,9123.717750646581,8829.537254353707
-3563722954.595934,-3702320338.890351,-3107843113.2907343,-4102338963.284555,-3496305367.8269725,-3885995610.4836907,-2305657088.1165757,-3445671444.359551,-3771172097.6435204,-2957712877.8791876
85165037.83844501,77024158.43301465,74551230.83984667,81830576.41197242,95508086.69961797,73947606.33555105,83020299.16899559,80721616.06217064,83242225.59346351,77960728.12602
9160.960478973722,8702.152881441207,8552.866403007327,8969.474132430209,9672.23474420289,8536.431543996672,8996.744028642112,8899.093339851004,9051.916982180725,8720.655404025289
24892.863521445433,30338.062808860996,28227.844217054706,24619.288307554514,23136.895287940588,31591.04188878989,28378.953634399935,27989.91162115374,26232.71667928043,29611.21068793897
