Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86144,10932.42,10036.637,10358.442,10073.953,8920.43248612039,10294.321
86145,10775.83,9998.16,10255.712,10117.456,8920.43248612039,10262.369
86146,10378.18,9952.748,10155.593,10028.392,8920.43248612039,10171.747
86147,10139.37,9767.233,9919.355,9765.178,8920.43248612039,9973.135
86148,9882.06,9771.581,9821.959,9512.58,8920.43248612039,9981.691
86149,9718.94,9689.784,9685.386,9376.53,8920.43248612039,9850.46
86150,9758.42,9582.52,9593.2295,9442.647,8920.43248612039,9674.087
86151,9728.4,9532.356,9548.957,9243.205,8920.43248612039,9490.119
86152,9455.02,9303.736,9393.906,9478.114,8920.43248612039,9302.8955
86153,9113.64,8948.155,9128.099,8996.72,8920.43248612039,9128.071
86154,9034.31,8618.35,8862.154,9088.22,8920.43248612039,8795.121
86155,8736.05,8667.974,8790.572,8656.708,8920.43248612039,8791.073
86156,8580.3,8656.222,8619.054,8717.761,8920.43248612039,8628.027
86157,8316.19,8724.176,8476.96,8434.496,8920.43248612039,8579.438
86158,8048.46,8742.9,8302.033,8286.737,8920.43248612039,8451.276
86159,7851.48,8509.171,8004.356,7743.256,8920.43248612039,8140.7886
86160,7690.51,8000.253,7784.5386,7587.032,8920.43248612039,7706.3823
86161,7506.92,7659.5815,7582.5654,7531.898,8920.43248612039,7242.866
86162,7194.91,7427.141,7450.034,7320.481,8920.43248612039,7064.665
86163,6880.82,7041.9146,7297.3574,7060.638,8920.43248612039,6796.442
86164,6697.45,6761.6787,7148.8154,6666.7207,8920.43248612039,6563.945
86165,6590.59,6584.2197,7085.908,6787.1255,8920.43248612039,6558.2686
86166,6611.04,6652.7275,7066.73,6784.9355,8920.43248612039,6699.625
86167,6667.32,6712.3525,7148.3364,6766.495,8920.43248612039,6788.142
86168,6994.37,7045.915,7387.4644,6944.089,8920.43248612039,7181.244
86169,7313.09,7469.4536,7785.5215,7565.514,8920.43248612039,7497.056
86170,7882.93,7753.6934,8150.7446,8017.3364,8920.43248612039,7928.205
86171,8454.02,8237.347,8644.773,8485.913,8920.43248612039,8317.705
86172,8989.95,8797.457,9190.116,8826.933,8920.43248612039,8806.211
86173,9480.06,9254.543,9598.488,9138.328,8920.43248612039,9278.189
86174,9754.4,9710.671,9917.715,9542.434,8920.43248612039,9693.932
86175,9945.64,9913.459,10098.521,9821.291,8920.43248612039,9841.124
86176,10205.44,10028.121,10208.632,9867.888,8920.43248612039,9791.681
86177,10561.68,10231.649,10398.369,9972.23,8920.43248612039,9959.349
86178,10735.26,10329.436,10534.717,10195.56,8920.43248612039,10197.693
86179,10858.15,10416.292,10605.115,9875.026,8920.43248612039,10216.684
86180,10972.1,10350.424,10619.391,10017.445,8920.43248612039,10193.599
86181,11077.14,10304.285,10662.483,9997.444,8920.43248612039,10330.988
86182,11138.77,10305.484,10713.789,9999.41,8920.43248612039,10599.049
86183,11105.14,10158.304,10693.045,10549.639,8920.43248612039,10584.393
86184,11229.09,10099.82,10679.871,10360.902,8920.43248612039,10606.516
