Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9
9250.5212261968,8634.537577479283,8759.672463245308,9165.548055899053,9551.479989556376,8585.448164187635,9027.326256197368,9032.529160562535,9121.198155442953,8790.61308226797
-3590645428.0819325,-3493731275.4609404,-3262405630.1480327,-4138130165.842214,-3336232457.7640314,-3817428459.4768972,-2263716566.779104,-3488799373.9644146,-3785924205.2915177,-2933958430.3236585
85572142.95631756,74555239.17690179,76731861.66333812,84007271.16499493,91230769.99089587,73709920.17995283,81492619.33583038,81586583.03641255,83196255.79085594,77274878.36214077
9160.622615077331,8558.353352425347,8686.291637325481,9083.024811668658,9459.68497854847,8508.611692905892,8924.61425915061,8935.14290656637,9027.210708961038,8700.66595722241
24779.51377037029,29620.442481153794,28804.37735725863,24791.752914247558,22887.174917425207,31181.30092559134,28280.332280001014,27567.51914413613,26009.08617161652,29786.45371147771
