Model,Metric,Value
Basic_nn,RMSE,0.4274090419368958
Basic_nn,MAE,0.3151592929505856
Basic_nn,MAPE,0.0357534222108517
Basic_nn,R2,0.9032197937161808
Basic_nn,TIME,0.1938946366310119
Complex_nn,RMSE,0.3849885635143068
Complex_nn,MAE,0.2949026623732077
Complex_nn,MAPE,0.034836689251183
Complex_nn,R2,0.92147737863475
Complex_nn,TIME,4.002393844127655
xgb,RMSE,0.4786083835557083
xgb,MAE,0.3501833732719121
xgb,MAPE,0.0397221676063646
xgb,R2,0.8786444240471347
xgb,TIME,1.2533395433425905
rf,RMSE,1.3783895923082692
rf,MAE,1.121717496887946
rf,MAPE,0.1348912799606152
rf,R2,-0.0065679615027041
rf,TIME,0.0545587730407714
Baseline,RMSE,0.3869165558062998
Baseline,MAE,0.2820027621183675
Baseline,MAPE,0.03178542423402106
Baseline,R2,0.9206889391836875
Baseline,TIME,0.017111079692840574
