Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9
9214.532181912275,8659.147171141953,8724.918156051563,9050.178490373275,9679.008534055618,8395.977432446456,9156.474262178412,8904.383761219198,9118.20338984192,8790.114393759013
-3552950631.9943337,-3604103655.1041274,-3173415894.1263194,-4106106606.247207,-3429501187.1481977,-3704424179.5624714,-2328450343.8426394,-3384478454.045714,-3766614894.1522803,-2931360149.9719825
84907603.33149698,74980829.7314957,76124196.8297982,81905730.70761509,93683206.20232147,70492437.04615018,83841020.91393568,79288050.16706416,83141633.05852468,77266111.05536939
9132.69299918314,8589.879847451404,8648.4167448042,8975.662699415163,9592.054804876356,8317.562427559678,9035.44122305943,8820.541385708751,9030.881098934198,8694.259282018273
24659.405435684614,29936.1827419079,28541.966888827694,24660.186624349528,23052.811595217074,30349.13949956751,28292.557197229275,27677.585495080606,25949.060445848663,29649.31736077409
