Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9
9169.591102168131,8604.242260187391,8649.94465902433,9065.808511248482,9604.00613061109,8516.421231916895,9042.265404524553,8812.993175134818,9075.585269071367,8792.238141257303
-3518378272.7574615,-3558543594.8089786,-3119111693.9169993,-4120301674.665703,-3376556873.3131514,-3811469537.769261,-2270726994.4626765,-3315361450.269237,-3731487162.194418,-2932776791.568375
84081400.98096097,74032984.87199464,74821542.60418354,82188883.96262543,92236933.75681539,72529430.59944487,81762563.64586157,77668848.70497288,82366247.9761852,77303451.53257969
9080.605546880985,8528.798598694713,8566.267183805214,8987.39323552989,9519.338659495133,8444.742666862701,8919.302217299519,8719.975741946091,8998.3393528088,8688.91635192387
24418.612212217173,29872.935246296573,28282.464619166385,24638.50226796102,22890.369899658315,31077.301209850637,27937.21848339957,27315.419544478347,26000.567350161164,29490.66070862215
