Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9
9128.145424368058,8628.521227490728,8723.178170799249,9031.601695100604,9427.759043553131,8583.37366590275,8847.180758645372,8842.453426947992,8871.558088969621,8538.15588782947
-3494454348.576247,-3521800508.273966,-3213129871.2864203,-4036550139.4186673,-3243930157.6845226,-3854503861.0756707,-2166622484.397408,-3344172208.722996,-3580127327.1091576,-2767228219.453547
83323038.88841152,74451378.5732581,76093837.39950852,81569829.1789441,88882640.58329786,73674303.48851281,78272607.37614492,78188982.60774428,78704542.92596231,72900105.96487707
9090.331024532336,8583.31574302801,8668.311515528625,8990.133034248185,9359.532187714489,8531.884885705987,8778.530749536016,8796.91517657789,8820.517954641387,8500.552939617428
25161.441624326388,30647.764244677146,29120.218045331305,25003.99548936227,22848.587862546072,32060.916813399443,28323.087585582947,28007.69021136679,25884.24372978317,30020.310378338327
